,brexit_constituency,area_code,region,region_code,eu_contribution_gbp,project_eu_contribution_gbp,project_total_cost_gbp,spending_per_voter,electorate,votes_cast,valid_votes,pct_turnout,remain,leave,pct_remain,pct_leave,rejected_ballots,pct_rejected,spending_percentile
214,Neath Port Talbot,W06000012,Wales,W92000004,145879063.0,151479038.0,273257004.0,1432.2091976627648,105766,75694,75652,71.57,32651,43001,43.16,56.84,42,0.06,74.87437185929649
215,New Forest,E07000091,South East,E12000008,12172437.0,78899302.0,102024168.0,559.3275391497295,141061,111786,111740,79.25,47199,64541,42.24,57.76,46,0.04,56.28140703517588
216,Newark and Sherwood,E07000175,East Midlands,E12000004,1276729.0,13272126.0,14797929.0,151.96278824795618,87338,67128,67087,76.86,26571,40516,39.61,60.39,41,0.06,23.115577889447238
217,Newcastle upon Tyne,E08000021,North East,E12000001,231584322.0,1483878193.0,2132671040.0,7779.789723962566,190735,129072,129003,67.67,65405,63598,50.7,49.3,69,0.05,95.22613065326634
218,Newcastle-under-Lyme,E07000195,West Midlands,E12000005,39337329.0,145161348.0,186887686.0,1563.9690139631098,92816,68966,68934,74.3,25477,43457,36.96,63.04,32,0.05,77.1356783919598
219,Newham,E09000025,London,E12000007,7892871.0,125143065.0,155034345.0,707.0828883803713,176985,104864,104699,59.25,55328,49371,52.84,47.16,165,0.16,61.30653266331658
220,Newport,W06000022,Wales,W92000004,19807471.0,204280792.0,393869967.0,1945.9576097621384,104977,73708,73649,70.21,32413,41236,44.01,55.99,59,0.08,80.90452261306532
221,Newry and Armagh,N06000011,Northern Ireland,N92000002,7336708.6400000015,19238486.64,22871459.08,242.8764520079282,79211,50644,50622,63.94,31963,18659,63.14,36.86,22,0.04,32.914572864321606
222,North Antrim,N06000012,Northern Ireland,N92000002,4541755.68,26577612.68,75183630.72,345.55423244445024,76913,49740,49720,64.67,18782,30938,37.78,62.22,20,0.04,44.221105527638194
223,North Ayrshire,S12000021,Scotland,S92000003,8176663.92,15844475.92,25593592.0,151.51738438587768,104572,67548,67504,64.59,38394,29110,56.88,43.12,44,0.07,22.613065326633166
